SampleID,Length,Weight,Minutes,Hook,Tissue,Strength,Depth,O2,PPM,Species
5408,19,24,502,8,2,30.90039118,12048.51009,32.282,1.03,Chain Pickerel
3611,19,24,520,2,5,26.85837488,12480.7819,26.282,5.075,Chain Pickerel
7115,18,20,693,2,7,33.58240493,13860.95534,25.004,4.105,Chain Pickerel
3303,20,28,280,1,1,37.15446758,7840.895245,26.56,5.015,Chain Pickerel
9517,31,126,201,1,85,131.2074783,25326.35982,40.618,3.275,Chain Pickerel
5418,27,83,647,3,49,94.69364869,53701.56232,37.506,2.735,Chain Pickerel
5240,29,103,75,8,67,62.6676292,7725.993995,45.062,4.005,Chain Pickerel
2926,30,114,732,8,77,106.6533907,83448.62857,46.34,4.155,Chain Pickerel
3665,27,83,520,2,45,85.25117016,43160.09423,36.506,2.675,Chain Pickerel
5626,24,51,231,1,18,39.55954137,11781.39395,31.672,5.27,Chain Pickerel
9554,20,28,519,3,0,27.93627231,14532.31109,28.56,3,Chain Pickerel
8262,28,92,600,7,55,81.17108438,55200.79007,42.784,4.825,Chain Pickerel
1913,24,51,439,2,22,69.12531017,22389.21392,32.672,3.33,Chain Pickerel
2350,23,44,152,5,15,23.63671616,6688.172313,34.394,4.225,Chain Pickerel
6458,30,114,99,2,79,76.39351885,11286.66394,40.34,3.185,Chain Pickerel
4961,21,33,469,4,4,36.94576381,15477.09522,30.838,3.06,Chain Pickerel
2799,26,65,305,3,32,49.83714022,19825.80268,36.228,5.48,Chain Pickerel
4596,19,24,41,8,3,37.16116093,984.1564108,32.282,5.045,Chain Pickerel
7203,18,20,425,2,4,19.8519915,8500.042177,25.004,1.06,Chain Pickerel
1516,21,33,341,5,7,35.19057249,11253.0743,31.838,3.105,Chain Pickerel
7123,30,114,84,6,78,73.82736038,9576.794052,44.34,4.17,Chain Pickerel
6502,28,92,693,8,56,66.32685896,63756.74215,43.784,3.84,Chain Pickerel
6759,20,28,490,3,1,39.28787951,13720.57526,28.56,4.015,Chain Pickerel
8167,19,24,271,1,0,39.45519515,6504.614194,25.282,5,Chain Pickerel
5503,25,58,248,3,25,49.4916124,14384.71918,34.95,4.375,Chain Pickerel
3518,24,51,216,8,22,56.20489224,11016.92223,38.672,5.33,Chain Pickerel
7999,29,103,682,4,67,38.19383214,70246.07963,41.062,2.005,Chain Pickerel
4462,20,28,322,8,1,37.04525182,9016.487136,33.56,2.015,Chain Pickerel
4952,25,58,428,8,25,56.32550501,24824.87826,39.95,2.375,Chain Pickerel
4479,27,83,402,3,47,99.7447278,33366.58867,37.506,4.705,Chain Pickerel
4882,31,126,705,8,88,81.45174027,88830.97118,47.618,6.32,Chain Pickerel
2165,27,83,664,1,48,56.12088379,55112.72874,35.506,5.72,Chain Pickerel
3339,24,51,209,8,21,26.85961405,10659.01088,38.672,5.315,Chain Pickerel
1922,27,83,28,1,46,102.2708485,2324.469173,35.506,1.69,Chain Pickerel
6038,28,92,398,6,58,48.3118211,36616.24605,41.784,5.87,Chain Pickerel
2664,17,17,37,7,7,23.76764721,629.4508729,28.726,1.105,Chain Pickerel
2072,16,14,609,6,12,21.56295226,8526.826968,26.448,2.18,Chain Pickerel
1423,18,20,731,6,8,26.26918762,14620.82763,29.004,2.12,Chain Pickerel
3134,25,58,390,2,26,42.58966479,22620.99706,33.95,5.39,Chain Pickerel
4670,20,28,353,5,2,33.94626632,9884.010401,30.56,5.03,Chain Pickerel
1148,23,44,557,6,13,50.68139726,24508.63133,35.394,5.195,Chain Pickerel
7565,27,83,38,5,47,55.90907863,3154.96653,39.506,4.705,Chain Pickerel
3637,16,14,187,3,12,25.03048683,2618.033317,23.448,4.18,Chain Pickerel
5435,18,20,81,2,9,30.73013645,1620.264936,25.004,3.135,Chain Pickerel
3544,20,28,257,5,1,31.67670175,7196.407312,30.56,4.015,Chain Pickerel
4667,22,38,389,3,11,38.61859252,14782.77757,31.116,2.165,Chain Pickerel
9010,19,24,169,8,6,21.95556775,4056.552119,32.282,2.09,Chain Pickerel
6188,28,92,650,7,55,102.375913,59800.44035,42.784,1.825,Chain Pickerel
7435,18,20,644,1,5,23.43324887,12880.44272,24.004,4.075,Chain Pickerel
4411,18,20,82,5,7,19.56446461,1640.762156,28.004,1.105,Chain Pickerel
7553,25,58,212,7,28,37.79053392,12296.2991,38.95,3.42,Chain Pickerel
6368,19,24,96,4,4,31.15614265,2304.343232,28.282,3.06,Chain Pickerel
9297,16,14,413,7,7,27.59605933,5782.932228,27.448,5.105,Chain Pickerel
8605,25,58,86,2,25,82.47799214,4988.590349,33.95,4.375,Chain Pickerel
6521,17,17,144,1,10,32.35561267,2448.793861,22.726,5.15,Chain Pickerel
4787,30,114,147,2,79,105.3098394,16758.78496,40.34,5.185,Chain Pickerel
4398,20,28,349,4,3,41.49276839,9772.120384,29.56,4.045,Chain Pickerel
7574,30,114,31,8,75,124.6490121,3534.707444,46.34,2.125,Chain Pickerel
4782,27,83,145,6,49,98.808588,12035.55093,40.506,1.735,Chain Pickerel
1082,16,14,572,4,7,26.40409687,8008.136171,24.448,2.105,Chain Pickerel
4542,24,51,108,5,20,69.41745002,5508.279289,35.672,2.3,Chain Pickerel
1002,27,83,145,7,46,99.76964215,12035.99264,41.506,3.69,Chain Pickerel
1625,26,65,293,5,30,38.63064097,19045.63877,38.228,3.45,Chain Pickerel
3593,29,103,235,6,65,112.2722488,24205.77184,43.062,5.975,Chain Pickerel
9138,15,11,669,1,12,24.15143312,7359.793889,20.17,1.18,Chain Pickerel
3461,28,92,418,3,57,42.595487,38456.85266,38.784,1.855,Chain Pickerel
1236,18,20,440,4,6,26.13090879,8800.535241,27.004,2.09,Chain Pickerel
5982,24,51,459,2,22,43.9701379,23409.05738,32.672,4.33,Chain Pickerel
7505,24,51,133,1,18,74.91460098,6783.282568,31.672,5.27,Chain Pickerel
1151,17,17,586,3,6,20.22755361,9962.772119,24.726,5.09,Chain Pickerel
3914,29,103,453,1,69,82.53196747,46659.53021,38.062,3.035,Chain Pickerel
7004,20,28,140,5,2,29.14210642,3920.249552,30.56,1.03,Chain Pickerel
6541,21,33,332,1,7,30.87221247,10956.96287,27.838,1.105,Chain Pickerel
7779,21,33,352,8,5,21.93826711,11616.93678,34.838,4.075,Chain Pickerel
9340,29,103,208,5,64,121.3503633,21424.33213,42.062,4.96,Chain Pickerel
9385,29,103,408,6,65,101.6926318,42024.13949,43.062,3.975,Chain Pickerel
7282,20,28,309,7,1,38.83223309,8652.241973,32.56,4.015,Chain Pickerel
6319,26,65,513,7,34,61.55160776,33345.58821,40.228,5.51,Chain Pickerel
4587,28,92,751,2,54,110.1095346,69092.52841,37.784,4.81,Chain Pickerel
7103,17,17,504,5,7,32.94642144,8568.868881,26.726,1.105,Chain Pickerel
7750,27,83,392,4,46,86.2793093,32536.1079,38.506,2.69,Chain Pickerel
7402,22,38,409,8,10,49.08415776,15542.79912,36.116,5.15,Chain Pickerel
6885,28,92,251,1,54,118.6155538,23092.17686,36.784,1.81,Chain Pickerel
8746,17,17,664,1,6,18.30398658,11288.40332,22.726,4.09,Chain Pickerel
1108,26,65,349,8,29,61.81865007,22685.42858,41.228,1.435,Chain Pickerel
2798,17,17,436,7,10,18.00457661,7412.336746,28.726,2.15,Chain Pickerel
8921,23,44,190,7,15,45.96274804,8360.002282,36.394,3.225,Chain Pickerel
3918,17,17,365,7,7,32.428335,6205.338751,28.726,4.105,Chain Pickerel
7773,20,28,195,8,3,33.02594899,5460.214028,33.56,4.045,Chain Pickerel
1312,26,65,304,3,31,56.90112153,19760.29298,36.228,4.465,Chain Pickerel
2073,27,83,347,5,46,108.935274,28801.65524,39.506,2.69,Chain Pickerel
4637,24,51,731,5,16,66.7432103,37281.36245,35.672,3.24,Chain Pickerel
3119,15,11,16,4,13,19.10808894,176.1933049,23.17,4.195,Chain Pickerel
8118,23,44,290,7,13,47.0486878,12760.13474,36.394,1.195,Chain Pickerel
5781,15,11,641,4,12,25.28946819,7051.938082,23.17,2.18,Chain Pickerel
8751,30,114,716,5,75,48.55408291,81624.87147,43.34,3.125,Chain Pickerel
5192,18,20,641,5,8,33.43646712,12820.73252,28.004,4.12,Chain Pickerel
4456,22,38,59,5,5,47.78841948,2242.384237,33.116,5.075,Chain Pickerel
8240,25,58,709,5,22,62.44289609,41122.39203,36.95,1.33,Chain Pickerel
1494,21,33,474,1,6,46.82789096,15642.27757,27.838,5.09,Chain Pickerel
5994,26,65,271,2,33,56.6201523,17615.95863,35.228,2.495,Chain Pickerel
1132,16,14,592,6,9,20.33505572,8288.897412,26.448,5.135,Chain Pickerel
4413,19,24,263,4,4,24.46944044,6312.375724,28.282,2.06,Chain Pickerel
5933,22,38,648,6,5,48.50202406,24624.01626,34.116,5.075,Chain Pickerel
2087,18,20,260,4,4,31.94476727,5200.640497,27.004,2.06,Chain Pickerel
2313,21,33,100,1,3,26.55647503,3300.489677,27.838,1.045,Chain Pickerel
1657,23,44,343,3,14,27.26697361,15092.92125,32.394,1.21,Chain Pickerel
1043,26,65,424,6,34,46.31228618,27560.01772,39.228,3.51,Chain Pickerel
2473,16,14,170,4,8,29.18272133,2380.699993,24.448,4.12,Chain Pickerel
7104,24,51,739,3,19,47.19352432,37689.91238,33.672,4.285,Chain Pickerel
7098,28,92,426,1,55,38.09173367,39192.79012,36.784,3.825,Chain Pickerel
2707,22,38,385,4,7,41.18855214,14630.87909,32.116,5.105,Chain Pickerel
1866,21,33,632,4,7,51.25846386,20856.82792,30.838,5.105,Chain Pickerel
5749,25,58,595,6,25,54.44902425,34510.67071,37.95,3.375,Chain Pickerel
1144,27,83,677,3,47,27.54908308,56191.63391,37.506,1.705,Chain Pickerel
9528,24,51,141,6,22,72.24553645,7191.499291,36.672,3.33,Chain Pickerel
4870,18,20,247,1,8,29.07619053,4940.230013,24.004,4.12,Chain Pickerel
8814,30,114,284,1,76,60.32290669,32376.14881,39.34,6.14,Chain Pickerel
4181,29,103,597,3,68,93.30312216,61491.58917,40.062,3.02,Chain Pickerel
7797,28,92,8,6,58,30.94572434,736.0113014,41.784,5.87,Chain Pickerel
9270,16,14,76,8,8,25.66063376,1064.166404,28.448,2.12,Chain Pickerel
8869,27,83,540,4,49,37.57413193,44820.68591,38.506,2.735,Chain Pickerel
4254,31,126,666,5,88,144.6541397,83916.37525,44.618,6.32,Chain Pickerel
6417,27,83,123,6,49,82.2391179,10209.71988,40.506,4.735,Chain Pickerel
2761,26,65,690,5,28,64.47244411,44850.77627,38.228,5.42,Chain Pickerel
2854,19,24,568,6,2,23.02455007,13632.30802,30.282,1.03,Chain Pickerel
8016,17,17,223,1,8,28.42606388,3791.585605,22.726,2.12,Chain Pickerel
4899,26,65,593,5,32,82.17701435,38545.9643,38.228,1.48,Chain Pickerel
2045,25,58,514,7,25,68.98956061,29812.63002,38.95,4.375,Chain Pickerel
5413,16,14,575,5,7,17.83651315,8050.54849,25.448,1.105,Chain Pickerel
4353,25,58,478,5,26,43.04646934,27724.52627,36.95,1.39,Chain Pickerel
1996,27,83,212,2,50,54.95083678,17596.58331,36.506,1.75,Chain Pickerel
6920,15,11,562,2,10,17.82100986,6182.026775,21.17,2.15,Chain Pickerel
6089,19,24,248,6,6,28.30957764,5952.065705,30.282,3.09,Chain Pickerel
6703,20,28,476,1,1,32.31469014,13328.87555,26.56,1.015,Chain Pickerel
8923,21,33,431,2,7,44.5956152,14223.91816,28.838,4.105,Chain Pickerel
5647,21,33,495,6,7,29.82686929,16335.41835,32.838,1.105,Chain Pickerel
1684,17,17,412,8,7,31.98656749,7004.887753,29.726,5.105,Chain Pickerel
3445,28,92,316,6,55,37.01797538,29072.0316,41.784,2.825,Chain Pickerel
2201,18,20,611,7,7,28.27840548,12220.90979,30.004,4.105,Chain Pickerel
3730,24,51,494,3,16,47.93888155,25194.94434,33.672,2.24,Chain Pickerel
8084,27,83,336,2,46,28.4106875,27888.79405,36.506,3.69,Chain Pickerel
5543,21,33,373,6,7,36.14869738,12309.68166,32.838,1.105,Chain Pickerel
7988,26,65,710,1,33,50.82939656,46150.83708,34.228,4.495,Chain Pickerel
3557,23,44,20,4,10,25.15012826,880.5742399,33.394,4.15,Chain Pickerel
4111,27,83,251,4,45,48.12133559,20833.67252,38.506,1.675,Chain Pickerel
3598,17,17,323,8,10,27.80285473,5491.427102,29.726,2.15,Chain Pickerel
7745,30,114,667,3,74,129.4990807,76038.68033,41.34,3.11,Chain Pickerel
7759,16,14,604,4,12,16.6605246,8456.582893,24.448,1.18,Chain Pickerel
4761,16,14,323,6,9,16.43065245,4522.153431,26.448,1.135,Chain Pickerel
2411,19,24,28,1,5,28.78202962,672.6790694,25.282,2.075,Chain Pickerel
9060,30,114,108,7,79,129.7338986,12312.43906,45.34,4.185,Chain Pickerel
5664,31,126,463,1,85,90.85415748,58338.48015,40.618,4.275,Chain Pickerel
6358,27,83,278,4,51,81.71265866,23074.66098,38.506,1.765,Chain Pickerel
8190,25,58,693,2,24,38.58385552,40194.98881,33.95,2.36,Chain Pickerel
9405,30,114,218,7,78,91.15743889,24852.1765,45.34,5.17,Chain Pickerel
1831,17,17,570,5,5,31.37217671,9690.27139,26.726,4.075,Chain Pickerel
7567,29,103,226,5,69,93.06452285,23278.99171,42.062,5.035,Chain Pickerel
7186,17,17,67,3,11,22.17513708,1139.107353,24.726,5.165,Chain Pickerel
1026,17,17,575,4,7,24.6574526,9775.427605,25.726,2.105,Chain Pickerel
3406,21,33,88,5,3,22.57705597,2904.377103,31.838,5.045,Chain Pickerel
9413,29,103,339,7,67,98.66604759,34917.05499,44.062,5.005,Chain Pickerel
5421,21,33,285,6,5,26.97871847,9405.803543,32.838,5.075,Chain Pickerel
7556,28,92,460,2,56,84.69582002,42320.06561,37.784,5.84,Chain Pickerel
6883,21,33,661,7,5,39.12020773,21813.31888,33.838,2.075,Chain Pickerel
1228,27,83,598,3,45,43.99441199,49634.51092,37.506,1.675,Chain Pickerel
1701,21,33,606,8,1,21.66628261,19998.1006,34.838,2.015,Chain Pickerel
7253,24,51,264,6,16,45.76019103,13464.98154,36.672,1.24,Chain Pickerel
2003,29,103,318,6,66,38.81900213,32754.38942,43.062,3.99,Chain Pickerel
9960,17,17,684,6,5,23.48897349,11628.89772,27.726,4.075,Chain Pickerel
9685,29,103,188,8,69,109.97053,19364.7347,45.062,2.035,Chain Pickerel
3693,27,83,171,2,50,66.05151972,14193.7829,36.506,4.75,Chain Pickerel
5760,25,58,717,3,22,73.47096763,41586.11596,34.95,4.33,Chain Pickerel
5847,23,44,158,4,13,62.45757316,6952.692609,33.394,4.195,Chain Pickerel
1965,25,58,41,3,22,81.64908769,2378.160417,34.95,2.33,Chain Pickerel
8351,31,126,665,3,89,48.29659079,83790.92409,42.618,2.335,Chain Pickerel
7967,24,51,627,5,22,37.57927489,31977.58473,35.672,5.33,Chain Pickerel
1144,31,126,24,6,86,94.40630484,3024.730533,45.618,3.29,Chain Pickerel
3728,31,126,320,5,84,88.41137334,40320.60641,44.618,6.26,Chain Pickerel
4547,17,17,616,1,10,28.106613,10472.27607,22.726,5.15,Chain Pickerel
4261,21,33,391,2,7,52.17224401,12903.71779,28.838,5.105,Chain Pickerel
2859,15,11,539,3,12,15.57175076,5929.066733,22.17,5.18,Chain Pickerel
4080,25,58,585,5,27,28.69927821,33930.07793,36.95,1.405,Chain Pickerel
5545,20,28,711,8,1,24.39332653,19908.65864,33.56,4.015,Chain Pickerel
3776,17,17,456,2,10,19.25614232,7752.702422,23.726,4.15,Chain Pickerel
