"Notes"	"Occurrence County"	"Occurrence County Code"	"UCD - ICD-10 113 Cause List"	"UCD - ICD-10 113 Cause List Code"	Deaths
	"Ashland County, WI"	"55003"	"#Viral hepatitis (B15-B19)"	"GR113-015"	Suppressed
	"Ashland County, WI"	"55003"	"#Human immunodeficiency virus (HIV) disease (B20-B24)"	"GR113-016"	Suppressed
	"Ashland County, WI"	"55003"	"#Malaria (B50-B54)"	"GR113-017"	Suppressed
	"Ashland County, WI"	"55003"	"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99,U07.1)"	"GR113-018"	19
	"Ashland County, WI"	"55003"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	44
	"Ashland County, WI"	"55003"	"Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)"	"GR113-020"	Suppressed
	"Ashland County, WI"	"55003"	"Malignant neoplasm of esophagus (C15)"	"GR113-021"	Suppressed
	"Ashland County, WI"	"55003"	"Malignant neoplasm of stomach (C16)"	"GR113-022"	Suppressed
	"Ashland County, WI"	"55003"	"Malignant neoplasms of colon, rectum and anus (C18-C21)"	"GR113-023"	Suppressed
	"Ashland County, WI"	"55003"	"Malignant neoplasms of liver and intrahepatic bile ducts (C22)"	"GR113-024"	Suppressed
	"Ashland County, WI"	"55003"	"Malignant neoplasm of pancreas (C25)"	"GR113-025"	Suppressed
	"Ashland County, WI"	"55003"	"Malignant neoplasm of larynx (C32)"	"GR113-026"	Suppressed
	"Ashland County, WI"	"55003"	"Malignant neoplasms of trachea, bronchus and lung (C33-C34)"	"GR113-027"	17
	"Ashland County, WI"	"55003"	"Malignant melanoma of skin (C43)"	"GR113-028"	Suppressed
	"Ashland County, WI"	"55003"	"Malignant neoplasm of breast (C50)"	"GR113-029"	Suppressed
	"Ashland County, WI"	"55003"	"Malignant neoplasm of cervix uteri (C53)"	"GR113-030"	Suppressed
	"Ashland County, WI"	"55003"	"Malignant neoplasms of corpus uteri and uterus, part unspecified (C54-C55)"	"GR113-031"	Suppressed
	"Ashland County, WI"	"55003"	"Malignant neoplasm of ovary (C56)"	"GR113-032"	Suppressed
	"Ashland County, WI"	"55003"	"Malignant neoplasm of prostate (C61)"	"GR113-033"	Suppressed
	"Ashland County, WI"	"55003"	"Malignant neoplasms of kidney and renal pelvis (C64-C65)"	"GR113-034"	Suppressed
	"Ashland County, WI"	"55003"	"Malignant neoplasm of bladder (C67)"	"GR113-035"	Suppressed
	"Ashland County, WI"	"55003"	"Malignant neoplasms of meninges, brain and other parts of central nervous system (C70-C72)"	"GR113-036"	Suppressed
	"Ashland County, WI"	"55003"	"Malignant neoplasms of lymphoid, hematopoietic and related tissue (C81-C96)"	"GR113-037"	Suppressed
	"Ashland County, WI"	"55003"	"Hodgkin disease (C81)"	"GR113-038"	Suppressed
	"Ashland County, WI"	"55003"	"Non-Hodgkin lymphoma (C82-C85)"	"GR113-039"	Suppressed
	"Ashland County, WI"	"55003"	"Leukemia (C91-C95)"	"GR113-040"	Suppressed
	"Ashland County, WI"	"55003"	"Multiple myeloma and immunoproliferative neoplasms (C88,C90)"	"GR113-041"	Suppressed
	"Ashland County, WI"	"55003"	"Other and unspecified malignant neoplasms of lymphoid, hematopoietic and related tissue (C96)"	"GR113-042"	Suppressed
	"Ashland County, WI"	"55003"	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	Suppressed
	"Ashland County, WI"	"55003"	"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)"	"GR113-044"	Suppressed
	"Ashland County, WI"	"55003"	"#Anemias (D50-D64)"	"GR113-045"	Suppressed
	"Ashland County, WI"	"55003"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	Suppressed
	"Ashland County, WI"	"55003"	"#Nutritional deficiencies (E40-E64)"	"GR113-047"	Suppressed
	"Ashland County, WI"	"55003"	"Malnutrition (E40-E46)"	"GR113-048"	Suppressed
	"Ashland County, WI"	"55003"	"Other nutritional deficiencies (E50-E64)"	"GR113-049"	Suppressed
	"Ashland County, WI"	"55003"	"#Meningitis (G00,G03)"	"GR113-050"	Suppressed
	"Ashland County, WI"	"55003"	"#Parkinson disease (G20-G21)"	"GR113-051"	Suppressed
	"Ashland County, WI"	"55003"	"#Alzheimer disease (G30)"	"GR113-052"	Suppressed
	"Ashland County, WI"	"55003"	"Major cardiovascular diseases (I00-I78)"	"GR113-053"	39
	"Ashland County, WI"	"55003"	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	31
	"Ashland County, WI"	"55003"	"Acute rheumatic fever and chronic rheumatic heart diseases (I00-I09)"	"GR113-055"	Suppressed
	"Ashland County, WI"	"55003"	"Hypertensive heart disease (I11)"	"GR113-056"	Suppressed
	"Ashland County, WI"	"55003"	"Hypertensive heart and renal disease (I13)"	"GR113-057"	Suppressed
	"Ashland County, WI"	"55003"	"Ischemic heart diseases (I20-I25)"	"GR113-058"	14
	"Ashland County, WI"	"55003"	"Acute myocardial infarction (I21-I22)"	"GR113-059"	Suppressed
	"Ashland County, WI"	"55003"	"Other acute ischemic heart diseases (I24)"	"GR113-060"	Suppressed
	"Ashland County, WI"	"55003"	"Other forms of chronic ischemic heart disease (I20,I25)"	"GR113-061"	Suppressed
	"Ashland County, WI"	"55003"	"Atherosclerotic cardiovascular disease, so described (I25.0)"	"GR113-062"	Suppressed
	"Ashland County, WI"	"55003"	"All other forms of chronic ischemic heart disease (I20,I25.1-I25.9)"	"GR113-063"	Suppressed
	"Ashland County, WI"	"55003"	"Other heart diseases (I26-I51)"	"GR113-064"	11
	"Ashland County, WI"	"55003"	"Acute and subacute endocarditis (I33)"	"GR113-065"	Suppressed
	"Ashland County, WI"	"55003"	"Diseases of pericardium and acute myocarditis (I30-I31,I40)"	"GR113-066"	Suppressed
	"Ashland County, WI"	"55003"	"Heart failure (I50)"	"GR113-067"	Suppressed
	"Ashland County, WI"	"55003"	"All other forms of heart disease (I26-I28,I34-I38,I42-I49,I51)"	"GR113-068"	Suppressed
	"Ashland County, WI"	"55003"	"#Essential hypertension and hypertensive renal disease (I10,I12,I15)"	"GR113-069"	Suppressed
	"Ashland County, WI"	"55003"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	Suppressed
	"Ashland County, WI"	"55003"	"#Atherosclerosis (I70)"	"GR113-071"	Suppressed
	"Ashland County, WI"	"55003"	"Other diseases of circulatory system (I71-I78)"	"GR113-072"	Suppressed
	"Ashland County, WI"	"55003"	"#Aortic aneurysm and dissection (I71)"	"GR113-073"	Suppressed
	"Ashland County, WI"	"55003"	"Other diseases of arteries, arterioles and capillaries (I72-I78)"	"GR113-074"	Suppressed
	"Ashland County, WI"	"55003"	"Other disorders of circulatory system (I80-I99)"	"GR113-075"	Suppressed
	"Ashland County, WI"	"55003"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	10
	"Ashland County, WI"	"55003"	"Influenza (J09-J11)"	"GR113-077"	Suppressed
	"Ashland County, WI"	"55003"	"Pneumonia (J12-J18)"	"GR113-078"	10
	"Ashland County, WI"	"55003"	"Other acute lower respiratory infections (J20-J22,U04)"	"GR113-079"	Suppressed
	"Ashland County, WI"	"55003"	"#Acute bronchitis and bronchiolitis (J20-J21)"	"GR113-080"	Suppressed
	"Ashland County, WI"	"55003"	"Other and unspecified acute lower respiratory infections (J22,U04)"	"GR113-081"	Suppressed
	"Ashland County, WI"	"55003"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	13
	"Ashland County, WI"	"55003"	"Bronchitis, chronic and unspecified (J40-J42)"	"GR113-083"	Suppressed
	"Ashland County, WI"	"55003"	"Emphysema (J43)"	"GR113-084"	Suppressed
	"Ashland County, WI"	"55003"	"Asthma (J45-J46)"	"GR113-085"	Suppressed
	"Ashland County, WI"	"55003"	"Other chronic lower respiratory diseases (J44,J47)"	"GR113-086"	12
	"Ashland County, WI"	"55003"	"#Pneumoconioses and chemical effects (J60-J66,J68,U07.0)"	"GR113-087"	Suppressed
	"Ashland County, WI"	"55003"	"#Pneumonitis due to solids and liquids (J69)"	"GR113-088"	Suppressed
	"Ashland County, WI"	"55003"	"Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)"	"GR113-089"	Suppressed
	"Ashland County, WI"	"55003"	"#Peptic ulcer (K25-K28)"	"GR113-090"	Suppressed
	"Ashland County, WI"	"55003"	"#Diseases of appendix (K35-K38)"	"GR113-091"	Suppressed
	"Ashland County, WI"	"55003"	"#Hernia (K40-K46)"	"GR113-092"	Suppressed
	"Ashland County, WI"	"55003"	"#Chronic liver disease and cirrhosis (K70,K73-K74)"	"GR113-093"	Suppressed
	"Ashland County, WI"	"55003"	"Alcoholic liver disease (K70)"	"GR113-094"	Suppressed
	"Ashland County, WI"	"55003"	"Other chronic liver disease and cirrhosis (K73-K74)"	"GR113-095"	Suppressed
	"Ashland County, WI"	"55003"	"#Cholelithiasis and other disorders of gallbladder (K80-K82)"	"GR113-096"	Suppressed
	"Ashland County, WI"	"55003"	"#Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)"	"GR113-097"	Suppressed
	"Ashland County, WI"	"55003"	"Acute and rapidly progressive nephritic and nephrotic syndrome (N00-N01,N04)"	"GR113-098"	Suppressed
	"Ashland County, WI"	"55003"	"Chronic glomerulonephritis, nephritis and nephropathy not specified as acute or chronic, and renal sclerosis unspecified (N02-N03,N05-N07,N26)"	"GR113-099"	Suppressed
	"Ashland County, WI"	"55003"	"Renal failure (N17-N19)"	"GR113-100"	Suppressed
	"Ashland County, WI"	"55003"	"Other disorders of kidney (N25,N27)"	"GR113-101"	Suppressed
	"Ashland County, WI"	"55003"	"#Infections of kidney (N10-N12,N13.6,N15.1)"	"GR113-102"	Suppressed
	"Ashland County, WI"	"55003"	"#Hyperplasia of prostate (N40)"	"GR113-103"	Suppressed
	"Ashland County, WI"	"55003"	"#Inflammatory diseases of female pelvic organs (N70-N76)"	"GR113-104"	Suppressed
	"Ashland County, WI"	"55003"	"#Pregnancy, childbirth and the puerperium (O00-O99)"	"GR113-105"	Suppressed
	"Ashland County, WI"	"55003"	"Pregnancy with abortive outcome (O00-O07)"	"GR113-106"	Suppressed
